Trait,Cat
varmx_SDLD_PC1_mean_dsit_acc,Spread_of_Shape
varmx_SDLD_PC2_mean_dsit_acc,Spread_of_Shape
varmx_SDLD_PC3_mean_dsit_acc,Spread_of_Shape
varmx_SDLD_total_euclid_mean_dist_ori,Spread_of_Shape
varmx_SDLD_total_euclid_mean_dist_vel,Spread_of_Shape
varmx_SDLD_total_euclid_mean_dist_acc,Spread_of_Shape
varmx_SDLD_PC1_sd_dsit,Spread_of_Shape
varmx_SDLD_PC2_sd_dsit,Spread_of_Shape
varmx_SDLD_PC3_sd_dsit,Spread_of_Shape
varmx_SDLD_PC1_sd_dsit_vel,Spread_of_Shape
varmx_SDLD_PC2_sd_dsit_vel,Spread_of_Shape
varmx_SDLD_PC3_sd_dsit_vel,Spread_of_Shape
varmx_SDLD_PC1_sd_dsit_acc,Spread_of_Shape
varmx_SDLD_PC2_sd_dsit_acc,Spread_of_Shape
varmx_SDLD_PC3_sd_dsit_acc,Spread_of_Shape
varmx_SDLD_total_euclid_sd_dist_ori,Spread_of_Shape
varmx_SDLD_total_euclid_sd_dist_vel,Spread_of_Shape
varmx_SDLD_total_euclid_sd_dist_acc,Spread_of_Shape
PC1_gc_SDLD_pre,Shape
PC2_gc_SDLD_pre,Shape
PC3_gc_SDLD_pre,Shape
PC1_gc_SDSD_pre,Shape
PC2_gc_SDSD_pre,Shape
PC3_gc_SDSD_pre,Shape
PC1_gc_LDLD_pre,Shape
PC2_gc_LDLD_pre,Shape
PC3_gc_LDLD_pre,Shape
PC1_gc_SDLD_post,Shape
PC2_gc_SDLD_post,Shape
PC3_gc_SDLD_post,Shape
PC1_gc_SDSD_post,Shape
PC2_gc_SDSD_post,Shape
PC3_gc_SDSD_post,Shape
PC1_gc_LDLD_post,Shape
PC2_gc_LDLD_post,Shape
PC3_gc_LDLD_post,Shape
PC1_gc_vel_SDLD_pre,Shape
PC2_gc_vel_SDLD_pre,Shape
PC3_gc_vel_SDLD_pre,Shape
PC1_gc_vel_SDSD_pre,Shape
PC2_gc_vel_SDSD_pre,Shape
PC3_gc_vel_SDSD_pre,Shape
PC1_gc_vel_LDLD_pre,Shape
PC2_gc_vel_LDLD_pre,Shape
PC3_gc_vel_LDLD_pre,Shape
PC1_gc_vel_SDLD_post,Shape
PC2_gc_vel_SDLD_post,Shape
PC3_gc_vel_SDLD_post,Shape
PC1_gc_vel_SDSD_post,Shape
PC2_gc_vel_SDSD_post,Shape
PC3_gc_vel_SDSD_post,Shape
PC1_gc_vel_LDLD_post,Shape
PC2_gc_vel_LDLD_post,Shape
PC3_gc_vel_LDLD_post,Shape
PC1_gc_acc_SDLD_pre,Shape
PC2_gc_acc_SDLD_pre,Shape
PC3_gc_acc_SDLD_pre,Shape
PC1_gc_acc_SDSD_pre,Shape
PC2_gc_acc_SDSD_pre,Shape
PC3_gc_acc_SDSD_pre,Shape
